moviename,charactername,time,totaltime,release,chrono
Captain America: Civil War,Dr. Helen Cho,0,3.25,13,15
Captain America: Civil War,Dr. Stephen Strange,0,76.25,13,15
Captain America: Civil War,Drax the Destroyer,0,34.5,13,15
Captain America: Civil War,Ego the Living Planet,0,17.5,13,15
Captain America: Civil War,Emil Blonsky,0,18.5,13,15
Captain America: Civil War,Erik Selvig,0,24,13,15
Captain America: Civil War,Fandral,0,9.5,13,15
Captain America: Civil War,Frigga,0,6,13,15
Captain America: Civil War,Gamora,0,55,13,15
Captain America: Civil War,Gen. Thaddeus Ross,2.75,17.75,13,15
Captain America: Civil War,Grandmaster,0,6,13,15
Captain America: Civil War,Groot,0,29.5,13,15
Captain America: Civil War,Hank Pym,0,24.75,13,15
Captain America: Civil War,Happy Hogan,0,17.75,13,15
Captain America: Civil War,Harley Keener,0,6.25,13,15
Captain America: Civil War,Heimdall,0,13.5,13,15
Captain America: Civil War,Hela,0,12.25,13,15
Captain America: Civil War,Ho Yinsen,0,11,13,15
Captain America: Civil War,Hogun,0,8.25,13,15
Captain America: Civil War,Hope van Dyne,0,15.75,13,15
Captain America: Civil War,Howard Stark,1.75,8.75,13,15
Captain America: Civil War,Ivan Vanko,0,20.75,13,15
Captain America: Civil War,Jane Foster,0,46,13,15
Captain America: Civil War,Jasper Sitwell,0,5.5,13,15
Captain America: Civil War,Johann Schmidt,0,15.5,13,15
Captain America: Civil War,Justin Hammer,0,16.5,13,15
Captain America: Civil War,Kaecilius,0,12.75,13,15
Captain America: Civil War,King Laufey,0,3.5,13,15
Captain America: Civil War,Korg,0,3.75,13,15
Captain America: Civil War,Kraglin,0,6.5,13,15
Captain America: Civil War,Laura Barton,0,3.75,13,15
Captain America: Civil War,Liz Allan,0,9.75,13,15
Captain America: Civil War,Loki,0,75.25,13,15
Captain America: Civil War,Luis,0,7,13,15
Captain America: Civil War,Malekith the Accursed,0,8.75,13,15
Captain America: Civil War,Mantis,0,11,13,15
Captain America: Civil War,Maria Hill,0,11.75,13,15
Captain America: Civil War,May Parker,1,5,13,15
Captain America: Civil War,Maya Hansen,0,8.75,13,15
Captain America: Civil War,Natasha Romanoff,12,89,13,15
Captain America: Civil War,Nebula,0,15,13,15
Captain America: Civil War,Ned Leeds,0,13.75,13,15
Captain America: Civil War,Nick Fury,0,43.75,13,15
Captain America: Civil War,Obadiah Stane,0,22,13,15
Captain America: Civil War,Odin,0,23.75,13,15
Captain America: Civil War,Paxton,0,4.5,13,15
Captain America: Civil War,Peggy Carter,0,20.5,13,15
Captain America: Civil War,Pepper Potts,0,64,13,15
Captain America: Civil War,Peter Parker,8.5,84.75,13,15
Captain America: Civil War,Peter Quill,0,82.5,13,15
Captain America: Civil War,Pietro Maximoff,0,10.25,13,15
Captain America: Civil War,Raza,0,6,13,15
Captain America: Civil War,Rocket Raccoon,0,39.25,13,15
